School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
San Diego Science and Technology (San Diego Unified),San Diego,San Diego Unified,High School,730,23.2,0.1,1.6,9.3,1.2,77.9,0,2.3,0.3,7.1,90.7,22,11,3.6,449,434
San Diego SCPA (San Diego Unified),San Diego,San Diego Unified,High School,1422,4.9,0.3,3,12,22.9,39.3,0.9,7.5,0.3,13.9,56.4,23.1,13,1.5,473,481
San Dieguito High Academy (San Dieguito Union High),San Diego,San Dieguito Union High,High School,1828,3,0.7,5,0.2,0.8,19.9,0.1,1.6,0,71.7,10.7,24,12,1.7,561,549
San Dimas High (Bonita Unified),Los Angeles,Bonita Unified,High School,1360,4.4,0.1,4.9,2.6,5.5,50.2,0.2,6.1,2.2,28.2,32.9,26.2,7,3.7,504,489
San Fernando Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2222,14.8,0.5,0.4,0.8,0.4,95.5,0,0.1,0.6,1.7,89.5,20.4,17,0.9,421,411
San Gabriel High (Alhambra Unified),Los Angeles,Alhambra Unified,High School,2253,22.2,0.4,58.1,0.5,1.2,36.7,0.1,1,0.8,1.2,78.3,26.6,12,0.6,552,484
San Gorgonio High (San Bernardino City Unified),San Bernardino,San Bernardino City Unified,High School,2044,10,0.4,3.4,14.7,0.7,70.6,0.8,1.3,0.8,7.1,85.8,24.3,15,10.6,442,436
San Jacinto High (San Jacinto Unified),Riverside,San Jacinto Unified,High School,2506,11,1.8,1,9.4,1.4,69.2,0.4,2.2,0,14.7,74.4,24.4,9,6.9,437,429
San Joaquin Building Futures Academy (San Joaquin County Office of Education),San Joaquin,San Joaquin County Office of Education,High School,140,10,0.7,2.9,24.3,0.7,63.6,0,2.9,0,5,92.9,23.3,3,10.1,N/A,N/A
San Jose Conservation Corps Charter (East Side Union High),Santa Clara,East Side Union High,High School,288,29.5,0.7,3.5,2.8,2.4,88.5,0,0,0.3,1.7,68.4,21.3,1,2,N/A,N/A
San Jose High (San Jose Unified),Santa Clara,San Jose Unified,High School,1059,26.3,0.4,7.5,1.8,3.2,81.8,0.8,0.8,0,3.9,73,19.7,7,6.9,425,425
San Juan High (San Juan Unified),Sacramento,San Juan Unified,High School,696,13.8,0.9,2,12.2,0.6,36.2,1,0.1,0,47,73.1,17.9,7,13.1,417,401
San Juan Hills High (Capistrano Unified),Orange,Capistrano Unified,High School,2392,4.6,0.3,3.6,0.6,1.4,31.8,0.1,4.3,0.3,57.6,25.2,26.7,11,3.7,533,534
San Leandro High (San Leandro Unified),Alameda,San Leandro Unified,High School,2597,12.6,0.3,15.4,17.6,8.7,44.5,1.6,2.5,0.2,9.2,62,21.6,9,9.4,455,460
San Lorenzo High (San Lorenzo Unified),Alameda,San Lorenzo Unified,High School,1386,17.2,0.2,7.4,15.7,5.8,60.9,1.3,1.2,0.7,6.8,76.6,21.4,11,12,448,424
San Lorenzo Valley High (San Lorenzo Valley Unified),Santa Cruz,San Lorenzo Valley Unified,High School,702,1.6,0.4,1.4,0.7,0.7,12.4,0.4,5.3,1,77.6,14.1,21.5,14,4.7,520,524
San Luis Obispo High (San Luis Coastal Unified),San Luis Obispo,San Luis Coastal Unified,High School,1395,9,0.1,4.7,1.1,0.6,25.6,0,4.9,0,62.9,27,21,11,5.9,566,548
San Marcos High (San Marcos Unified),San Diego,San Marcos Unified,High School,3048,9.1,0.5,5.8,2.8,3,40.9,0.9,1.1,0.2,44.9,30.4,26.6,9,3.7,511,498
San Marcos Senior High (Santa Barbara Unified),Santa Barbara,Santa Barbara Unified,High School,2181,14.2,1.1,3.8,1.5,0.7,53.8,0,0,0,39,39.2,22.9,11,3.7,532,512
San Marin High (Novato Unified),Marin,Novato Unified,High School,1076,6,0.6,4.5,2.7,1,26.2,0.4,4.5,0,60.2,20.4,20,8,4.3,517,508
San Marino High (San Marino Unified),Los Angeles,San Marino Unified,High School,1200,8.9,0,60.1,0.9,1,8,0.4,3,0.1,26.5,3.7,21,11,0.6,648,600
San Mateo High (San Mateo Union High),San Mateo,San Mateo Union High,High School,1615,18.1,0.2,22.8,1.3,4.5,42.1,2.5,7.4,0,19.3,27.9,20.6,9,3.6,574,554
San Pasqual High (Escondido Union High),San Diego,Escondido Union High,High School,2258,11.6,0.4,3.7,1.7,2.4,57.1,0.4,0.9,0.1,33.2,52.1,23.4,11,5.5,521,500
San Pasqual Valley High (San Pasqual Valley Unified),Imperial,San Pasqual Valley Unified,High School,164,32.9,33.5,0.6,0,0,60.4,0,2.4,0,3,86,13.6,9,22,0,0
San Pedro Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2489,5.7,0.7,1.9,7.2,1.4,67.9,0.9,0.7,0.2,19,60.7,21.7,18,0.5,458,453
San Rafael High (San Rafael City High),Marin,San Rafael City High,High School,1228,20.8,0.1,4.5,1,0.2,64.2,0.2,0.4,0,29.4,56.2,21.6,8,4.8,497,496
San Ramon Valley High (San Ramon Valley Unified),Contra Costa,San Ramon Valley Unified,High School,2103,0.4,0,6.5,0.8,1.7,8.7,0,5.4,0,76.8,1.9,22.5,11,1.9,589,560
San Ysidro High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,2456,42.1,0.8,0.3,1.4,2,94,0,0.8,0,0.7,73.4,23.5,8,3.8,456,432
Sanger High (Sanger Unified),Fresno,Sanger Unified,High School,2852,7.7,0.4,13.1,1.4,0.5,71.2,0.2,0.7,0.2,12.3,75.4,23,9,7,450,434
Santa Ana High (Santa Ana Unified),Orange,Santa Ana Unified,High School,2800,24.3,0.1,0.2,0.3,0.2,98.5,0.1,0.2,0,0.5,96.1,24.4,14,1.6,414,397
Santa Barbara Senior High (Santa Barbara Unified),Santa Barbara,Santa Barbara Unified,High School,2188,13.2,1,2,1.4,0.5,56,0.2,0.2,0.1,38.5,39.9,23.8,11,4.6,539,517
Santa Clara High (Santa Clara Unified),Santa Clara,Santa Clara Unified,High School,1971,11.2,0.9,16.6,5,11.7,34.6,0.6,4,0.4,26.2,41.5,23.6,7,7.2,521,509
Santa Cruz High (Santa Cruz City High),Santa Cruz,Santa Cruz City High,High School,1010,3,1.1,1.5,2.1,0.8,29.6,0.2,4.9,0,59.9,28.5,24.1,13,2.2,567,542
Santa Fe High (Whittier Union High),Los Angeles,Whittier Union High,High School,2395,7.6,0.3,0.9,1.4,0.8,90.1,0.1,0.2,0.9,5.4,72.1,28.5,13,2.4,458,443
Santa Maria High (Santa Maria Joint Union High),Santa Barbara,Santa Maria Joint Union High,High School,2695,37.1,0.1,0.2,0.6,1.3,94.1,0,0.2,0.2,3.2,85.5,19.4,11,5.9,460,430
Santa Monica High (Santa Monica-Malibu Unified),Los Angeles,Santa Monica-Malibu Unified,High School,2950,4.3,0.1,6.8,9.4,1.2,36.3,0.1,6.8,0.9,38.3,28.7,21.7,11,3.5,541,528
Santa Paula High (Santa Paula Unified),Ventura,Santa Paula Unified,High School,1588,17.3,0,0.1,0.1,0.1,95.1,0.1,0.1,0,4.3,76.6,23.4,10,4.2,434,430
Santa Rosa High (Santa Rosa High),Sonoma,Santa Rosa High,High School,1988,8.7,0.4,4.4,1.5,1.1,37.3,0.3,7.1,0.2,47.7,30.7,22.1,12,5.3,546,538
Santa Susana High (Simi Valley Unified),Ventura,Simi Valley Unified,High School,1271,1,0.4,10.7,1.2,3.8,27.1,0.1,4.2,0.1,52.5,17.2,25.3,11,1.4,562,555
Santa Teresa High (East Side Union High),Santa Clara,East Side Union High,High School,2227,5.7,0.4,19.4,4.8,4,39,0.4,3.7,0,28.3,20.9,23.9,13,2.2,551,516
Santa Ynez Valley Union High (Santa Ynez Valley Union High),Santa Barbara,Santa Ynez Valley Union High,High School,966,4.8,1.3,0.7,0.3,0,41.1,0,3.6,0,52.9,22.8,18.6,11,1.6,533,526
Santana High (Grossmont Union High),San Diego,Grossmont Union High,High School,1491,3.7,0.7,1.4,1.5,1.4,25,0.5,9,0,60.5,47.1,23.6,16,2,524,493
Santee Education Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1808,26.8,0.1,0.3,6.1,0.1,91.9,0,0,0.8,0.7,92.3,20.3,12,1.1,384,384
Santiago High (Garden Grove Unified),Orange,Garden Grove Unified,High School,2121,35.8,0.1,12.4,0.2,0.8,83.5,0.3,0,0.4,2.2,78.8,23.2,10,2,439,436
Santiago High (Corona-Norco Unified),Riverside,Corona-Norco Unified,High School,3580,2.8,0.4,8.9,5.4,2.1,35.6,0.2,0.7,0.8,45.9,25.8,25.5,13,4,462,460
Saratoga High (Los Gatos-Saratoga Joint Union High),Santa Clara,Los Gatos-Saratoga Joint Union High,High School,1324,1.7,0,59,0.2,0.5,5.1,0.1,7.9,0.8,26.4,0,17.9,10,1.7,692,670
Saugus High (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,2330,4,0.1,3.1,2.5,4,30,0,5.2,0,54.9,11.4,24.9,13,1.6,528,509
SAVA: Sacramento Academic and Vocational Academy (Twin Rivers Unified),Sacramento,Twin Rivers Unified,High School,701,14.1,2.6,5.8,25.7,0.7,46.4,0.7,0.6,2.1,15.4,84.3,15.4,4,0.6,0,0
Savanna High (Anaheim Union High),Orange,Anaheim Union High,High School,2035,21.4,0.9,6.6,2.8,3.7,73,0.6,3,0,9.5,77.1,26.7,13,5.6,454,442
School for Entrepreneurship and Technology (San Diego Unified),San Diego,San Diego Unified,High School,269,5.6,0,2.6,6.7,2.2,28.6,0.4,8.2,0.4,50.9,40.5,26.2,3,9.9,503,489
School for the Visual Arts and Humanities (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,435,27.8,0.2,9.9,1.8,2.1,83.9,0.5,0.5,0.2,0.9,89.7,18.4,9,0.6,408,377
School of Business and Tourism at Contreras Learning Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,461,17.8,0,1.7,1.1,0.4,94.1,0.2,0.4,0,2,92.4,19.6,11,0.4,393,389
School of Extended Educational Options (Pomona Unified),Los Angeles,Pomona Unified,High School,266,21.4,0,0.8,3,0,88.3,0.4,6.8,0,0.8,71.1,22.9,18,0.2,0,0
School of History and Dramatic Arts at Sonia Sotomayor Learning Academies (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,361,15.2,0,1.7,0.6,3.6,91.1,0.3,0,0,2.8,83.9,19.8,13,0.8,384,394
School of Unlimited Learning (Fresno Unified),Fresno,Fresno Unified,High School,213,18.8,0.9,3.8,11.7,0,73.2,0,0.5,0,9.9,92.5,19.4,7,9.9,N/A,N/A
Schurr High (Montebello Unified),Los Angeles,Montebello Unified,High School,2847,11,0,7.7,0.4,0.7,89,0.1,0.5,0,1.6,81,27.2,17,3.8,479,448
"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Com (Los Angeles Unified)",Los Angeles,Los Angeles Unified,High School,566,13.1,0,0,0.5,0,98.2,0,0,0,1.2,85.9,26.9,11,0.2,406,397
Scotts Valley High (Scotts Valley Unified),Santa Cruz,Scotts Valley Unified,High School,841,0.5,0.2,1.2,0.2,0.2,15.2,0.2,8.2,0.4,74.1,10.5,23.1,8,3.6,557,543
Scripps Ranch High (San Diego Unified),San Diego,San Diego Unified,High School,2221,2.1,0.1,22.8,3.5,6.4,18,0.2,8.6,0,40.4,18.9,25.7,17,2.5,583,552
Seaside High (Monterey Peninsula Unified),Monterey,Monterey Peninsula Unified,High School,1059,16,0.1,3.7,7.5,6.4,64.2,3.3,4.2,0,10.7,69.5,19.7,8,4.1,437,411
Segerstrom High (Santa Ana Unified),Orange,Santa Ana Unified,High School,2433,6.5,0,6.9,0.5,0.5,89.7,0,0.7,0,1.6,88.9,25.8,13,4,482,465
Selma High (Selma Unified),Fresno,Selma Unified,High School,1784,9.9,0.4,6.4,0.4,0.4,86.1,0.2,0.2,0,5.9,74.6,23.2,11,6.5,450,451
Sequoia High (Sequoia Union High),San Mateo,Sequoia Union High,High School,2143,21.2,0.2,3.1,1.3,1.5,59.4,2.2,2.9,0,29.4,41.7,18.7,9,4.5,547,530
Sequoia School (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,49,8.2,0,0,4.1,4.1,26.5,0,8.2,0,57.1,44.9,8.4,6,6.1,N/A,N/A
Serra High (San Diego Unified),San Diego,San Diego Unified,High School,1762,5.8,0.5,8.7,7.7,3.6,44.3,0.5,7.7,0.1,26.9,58.3,22.2,13,2.9,525,486
Serrano High (Snowline Joint Unified),San Bernardino,Snowline Joint Unified,High School,2231,5.1,0.4,3.3,6,0.6,41.3,0.6,0.5,3,44.4,57.8,21.9,10,7.6,505,476
Shadow Hills High (Desert Sands Unified),Riverside,Desert Sands Unified,High School,2006,11.7,0.3,0.6,2.2,0.9,81.1,0.1,0,0.6,14,63.8,26.1,8,4.4,428,425
Shafter High (Kern High),Kern,Kern High,High School,1486,23,0.1,0.6,0.4,0,90.4,0.1,0.6,0.1,7.7,79.8,29.3,10,7.8,453,437
Shandon High (Shandon Joint Unified),San Luis Obispo,Shandon Joint Unified,High School,66,43.9,0,0,0,0,83.3,0,0,0,16.7,75.8,8.4,11,1.3,0,0
Shasta Charter Academy (Shasta Union High),Shasta,Shasta Union High,High School,242,0.4,1.7,1.7,1.7,0,9.9,0,5.8,0,79.3,33.1,19.5,11,0,0,0
Shasta County Independent Study Charter (Shasta County Office of Education),Shasta,Shasta County Office of Education,High School,118,N/A,3.4,1.7,0,0,20.3,0,0,0,74.6,65.3,23.6,22,0,N/A,N/A
Shasta High (Shasta Union High),Shasta,Shasta Union High,High School,1454,0.7,3.8,3.6,2.8,1.1,13.8,0.3,1.5,0.4,72.7,31.4,22.2,11,3.7,549,539
Sheldon High (Elk Grove Unified),Sacramento,Elk Grove Unified,High School,2322,9.5,0.4,27.8,14.3,6.2,24.9,1.5,7.4,0,17.6,58.4,20.7,14,6.2,500,473
Sherman Thomas Charter High (Madera Unified),Madera,Madera Unified,High School,68,5.9,0,0,4.4,0,63.2,0,1.5,1.5,29.4,66.2,21.9,6,3.7,0,0
SIATech (Vista Unified),San Diego,Vista Unified,High School,1122,17,1.2,1.2,20.4,0.8,60.7,1.1,6.1,0.4,8.2,94.1,27,6,0,N/A,N/A
SIATech Academy South (Acton-Agua Dulce Unified),Los Angeles,Acton-Agua Dulce Unified,High School,96,19.8,1,3.1,3.1,0,90.6,1,0,0,1,83.3,0,N/A,0,N/A,N/A
Sierra Academy of Expeditionary Learning (Nevada Joint Union High),Nevada,Nevada Joint Union High,High School,140,N/A,4.3,2.1,0.7,0,9.3,0,2.9,3.6,77.1,30,15.6,1,13.4,N/A,N/A
Sierra High (Sierra Unified),Fresno,Sierra Unified,High School,458,1.1,14,1.1,1.1,0.7,11.8,0,0.2,0.4,70.7,34.7,20.8,14,11.3,521,518
Sierra High (Manteca Unified),San Joaquin,Manteca Unified,High School,1358,5.8,1,9.1,5,5.8,49.3,1,2,0,26.9,41.4,21.3,15,6.5,479,454
Sierra Pacific High (Hanford Joint Union High),Kings,Hanford Joint Union High,High School,761,9.5,0.8,4.1,3.5,3.2,59.7,0.1,0.9,0,27.7,55.6,22.4,9,2.3,465,459
Sierra Vista Charter High (Tulare Joint Union High),Tulare,Tulare Joint Union High,High School,186,15.1,2.2,0.5,3.2,0,75.3,0,1.1,0,17.7,87.6,13,18,0.3,N/A,N/A
Sierra Vista High (Baldwin Park Unified),Los Angeles,Baldwin Park Unified,High School,2013,9.1,0,7.3,0.4,3,88.5,0.1,0,0,0.6,85.7,24.8,4,4.8,462,445
Silver Creek High (East Side Union High),Santa Clara,East Side Union High,High School,2458,11.6,0.2,45.1,2.4,11.1,34.9,0.9,0.7,0,4.8,41.7,23.8,13,2.6,553,514
Silver Oak High Public Montessori Charter (Hayward Unified),Alameda,Hayward Unified,High School,161,14.3,1.2,4.3,6.2,2.5,60.2,0.6,3.1,6.8,14.9,54,35.8,2,5.7,N/A,N/A
Silver Valley High (Silver Valley Unified),San Bernardino,Silver Valley Unified,High School,378,2.9,1.1,2.4,15.9,2.4,34.9,1.9,3.2,0,38.4,45,14,11,2,486,465
Silverado High (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,2213,8.2,0.5,2.2,25.4,0.9,57.4,1.1,2.1,0.5,9.9,78.4,25.6,12,9.4,427,418
Simi Valley High (Simi Valley Unified),Ventura,Simi Valley Unified,High School,2182,2.2,0.5,7,0.8,2.5,28.5,0.2,3,0.3,57.2,22.5,25.8,12,2.6,552,522
Sir Francis Drake High (Tamalpais Union High),Marin,Tamalpais Union High,High School,1077,1.2,0.2,3.2,2,0.3,10.7,0.5,1.7,4.3,77.3,6.8,18.2,13,1.6,560,559
Six Rivers Charter High (Northern Humboldt Union High),Humboldt,Northern Humboldt Union High,High School,96,N/A,6.3,3.1,0,0,3.1,0,7.3,0,80.2,45.8,12.9,12,10.9,0,0
Skyline High (Oakland Unified),Alameda,Oakland Unified,High School,1854,16.4,0.8,14.7,31.4,1.5,40.2,1.2,1.6,1.9,6.6,75.6,18.2,9,10.1,443,431
Social Justice Leadership Academy at Esteban E. Torres High No. 5 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,406,20.2,0.2,0.2,0.2,0.2,97.5,0.2,0.2,0,1,89.4,21.1,16,0,370,380
Soledad High (Soledad Unified),Monterey,Soledad Unified,High School,1429,23.7,0.2,0.5,0.5,1.1,94.3,0.1,0.4,0,2.8,71,22.4,6,5.3,432,433
Sonoma Valley High (Sonoma Valley Unified),Sonoma,Sonoma Valley Unified,High School,1296,8.2,0.4,2.2,0.5,0.7,53.9,0.2,0.6,0.4,41.1,49.4,18.5,9,10.1,494,486
Sonora High (Sonora Union High),Tuolumne,Sonora Union High,High School,940,0.9,1.8,1.2,0.7,0.9,17.9,0.7,3.1,0.1,73.6,37.8,20.9,11,1.3,539,516
Sonora High (Fullerton Joint Union High),Orange,Fullerton Joint Union High,High School,1882,9.1,0.1,8.6,1.1,1.6,67.6,0.2,2.2,0,18.7,46.5,27.6,15,7.1,523,517
Soquel High (Santa Cruz City High),Santa Cruz,Santa Cruz City High,High School,1093,5.6,0.4,2,1.1,1.1,34.7,0.1,4.5,0,56.2,32.8,26.4,11,4.3,518,524
South East High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2105,16.8,0.3,0,1.6,0,97.4,0,0,0.1,0.5,89,21.6,13,0.1,415,433
South El Monte High (El Monte Union High),Los Angeles,El Monte Union High,High School,1388,18.9,0.1,2.9,0.1,0,95.7,0.1,0.5,0,0.6,91.5,20.6,14,3.6,428,407
South Fork High (Summerville Union High),Tuolumne,Summerville Union High,High School,4,N/A,50,0,0,0,25,0,0,0,25,0,2.5,12,0,N/A,N/A
South Fork Junior - Senior High (Southern Humboldt Joint Unified),Humboldt,Southern Humboldt Joint Unified,High School,196,2.6,4.1,1.5,2,0.5,13.8,0,2,1,75,39.8,16.5,8,10.7,518,498
South Gate Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2872,14.4,0.2,0.1,1,0.1,97.8,0,0.1,0.3,0.3,88.3,24.6,17,0.4,409,405
South High (Kern High),Kern,Kern High,High School,1981,15,0.7,1.9,9.8,0.6,80.1,0.2,0.4,1,5.6,92.4,22.4,12,1.1,408,388
South High (Torrance Unified),Los Angeles,Torrance Unified,High School,2110,6.8,0.3,30.7,2.4,3.5,15.5,0.5,6,1.8,39.3,16.1,22,13,13.5,580,540
South Hills High (Covina-Valley Unified),Los Angeles,Covina-Valley Unified,High School,1702,3.8,0.2,8.6,2.9,3,68.1,0.3,0.3,0.2,16.5,59,24.2,10,3.1,457,441
South Pasadena Senior High (South Pasadena Unified),Los Angeles,South Pasadena Unified,High School,1528,3.7,0.5,35.9,2.6,3,24.7,0.1,3.5,0.4,29.2,15.4,22.4,12,2.5,606,581
South San Francisco High (South San Francisco Unified),San Mateo,South San Francisco Unified,High School,1363,13.5,0.1,8.7,1.2,20,56.8,3.1,5.6,0.1,4.4,43.2,22.6,6,15.2,497,472
South Tahoe High (Lake Tahoe Unified),El Dorado,Lake Tahoe Unified,High School,1047,16.2,0.7,1.8,0.9,5.1,37.5,0.2,1.1,1.1,51.8,47.5,20.4,13,4.9,508,492
Southern Trinity High (Southern Trinity Joint Unified),Trinity,Southern Trinity Joint Unified,High School,30,N/A,6.7,0,0,0,3.3,0,3.3,0,86.7,80,8.4,14,18.8,N/A,N/A
Southwest High (Central Union High),Imperial,Central Union High,High School,2063,26.7,0.1,1.8,0.6,0,92.1,0.1,0.1,0,5,71.4,23,10,3.9,496,481
Southwest Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,1814,37.9,0.2,0.2,1.8,1.8,93.7,0,1.1,0,1.2,75.8,23,11,3.9,436,418
Stagg Senior High (Stockton Unified),San Joaquin,Stockton Unified,High School,1466,12.6,5,7.4,17.1,2.8,51.7,0.9,1.7,0,13.5,58.5,25.1,15,19.5,423,412
Stanislaus Alternative Charter (Stanislaus County Office of Education),Stanislaus,Stanislaus County Office of Education,High School,380,26.6,0.8,4.7,6.8,0.3,61.3,0.3,3.4,1.3,21.1,65.8,21.1,8,0,N/A,N/A
Steele Canyon High (Grossmont Union High),San Diego,Grossmont Union High,High School,2165,7.2,1.4,1.3,6.1,1.3,36.8,0.3,8.1,0.7,43.9,28.5,27.3,11,0,496,492
Stellar Secondary Charter High (Redding Elementary),Shasta,Redding Elementary,High School,76,1.3,0,0,0,1.3,9.2,0,6.6,0,82.9,39.5,18.8,6,2.4,0,0
STEM Academy at Bernstein High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,584,11.5,0,5.1,1.2,7,80.8,0.5,0.7,0.3,4.3,93.7,19.1,8,0,423,414
Stockdale High (Kern High),Kern,Kern High,High School,2110,2.2,0.7,13.1,6.6,4.8,39.1,0.1,3.5,0.7,31.3,32.6,27.6,15,4.6,535,508
Stockton Collegiate International Secondary (Stockton Unified),San Joaquin,Stockton Unified,High School,479,4.6,0.4,6.7,7.1,5.6,58.9,0.8,5,0.6,14.8,54.3,21.3,3,0,490,522
Stockton High (Stockton Unified),San Joaquin,Stockton Unified,High School,194,7.7,5.7,2.6,16.5,3.1,61.3,0,0.5,0,10.3,59.8,55.4,20,0,N/A,N/A
Stockton Unified Early College Academy (Stockton Unified),San Joaquin,Stockton Unified,High School,375,1.3,1.9,32.8,3.5,16,37.9,1.3,0.8,0,5.9,61.6,38.2,10,0,556,493
Strathmore High (Porterville Unified),Tulare,Porterville Unified,High School,275,24.4,0,0.7,0,0,85.1,0,0,0,14.2,84.4,15.1,15,9.7,395,382
Student Empowerment Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,257,20.6,0,0,1.9,0,98.1,0,0,0,0,87.5,18.4,1,0,375,371
Success One! (Glenn County Office of Education),Glenn,Glenn County Office of Education,High School,77,33.8,6.5,1.3,1.3,0,62.3,0,1.3,0,27.3,85.7,24.2,10,0,N/A,N/A
Sultana High (Hesperia Unified),San Bernardino,Hesperia Unified,High School,1962,12.9,0.7,0.5,5.7,0.5,59,0.4,1.6,0.7,31,70.1,24.7,12,6.5,476,448
Summerville High (Summerville Union High),Tuolumne,Summerville Union High,High School,452,N/A,6.2,0.2,2,0.4,11.1,0.2,2.4,0.9,76.5,36.1,17.2,8,10,485,498
Summit High (Fontana Unified),San Bernardino,Fontana Unified,High School,2448,10.3,0.2,2.7,11.3,4.5,72.4,0.2,1.4,0,7.3,67.4,22.5,12,9.9,453,434
Summit Leadership Academy-High Desert (Hesperia Unified),San Bernardino,Hesperia Unified,High School,178,21.3,0,0.6,3.9,0,70.2,0,0.6,2.2,22.5,74.2,14.8,1,5.3,0,0
Summit Preparatory Charter High (Sequoia Union High),San Mateo,Sequoia Union High,High School,412,10.4,0.2,5.6,1.2,1.7,57.3,1,4.6,7.3,21.1,55.3,20.6,3,6.7,505,512
Summit Public School K2 (Contra Costa County Office of Education),Contra Costa,Contra Costa County Office of Education,High School,224,15.6,0.4,6.7,20.5,3.6,38.4,0.4,6.7,7.6,15.6,60.7,24.9,1,6.1,N/A,N/A
Summit Public School: Rainier (East Side Union High),Santa Clara,East Side Union High,High School,360,11.7,0.3,16.4,1.9,3.9,48.1,0.8,4.7,10.8,13.1,53.9,17.1,2,1.6,441,450
Summit Public School: Shasta (Jefferson Union High),San Mateo,Jefferson Union High,High School,325,5.2,0,18.5,2.2,8.3,27.1,0.6,10.5,11.4,21.5,32,21.7,1,1.8,N/A,N/A
Summit Public School: Tahoma (Santa Clara County Office of Education),Santa Clara,Santa Clara County Office of Education,High School,275,6.5,0.7,13.8,2.5,4.7,50.5,0.4,4.7,7.3,15.3,48.7,18.3,2,3.1,458,465
Sun Valley High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,492,29.5,0,0.4,1,0,95.7,0,0,0.6,2.2,91.1,17.4,13,0.8,367,378
Sunny Hills High (Fullerton Joint Union High),Orange,Fullerton Joint Union High,High School,2307,6.5,0.1,44.8,2.1,6,29.3,0.3,1.8,0,15.5,27.4,29.2,15,3,590,550
Sunnyside High (Fresno Unified),Fresno,Fresno Unified,High School,2846,17,0.3,22.7,7.5,0.6,65.4,0.1,0.6,0,2.8,88.8,25.2,16,6.4,404,393
Surprise Valley High (Surprise Valley Joint Unified),Modoc,Surprise Valley Joint Unified,High School,47,6.4,14.9,4.3,0,0,25.5,4.3,0,0,51.1,68.1,8.9,7,13.7,0,0
Susan Miller Dorsey Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1124,18.5,0.1,0.2,51.6,0,45,0.2,0.5,1.2,1.2,78.6,20.2,16,2.3,367,373
Sutter High (Sutter Union High),Sutter,Sutter Union High,High School,723,3.9,1.9,2.5,0.4,0.4,23.8,0,5.1,0,65.8,29,22.7,14,3.7,503,481
Sweetwater High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,2698,24.2,0.3,0.3,1.4,13.1,81.2,0.4,2.1,0,1.1,79.8,25,13,4,458,440
Sylmar Biotech Health Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,332,11.1,0.3,0.9,5.7,0.6,90.1,0,0.3,0.3,1.8,91.3,22.9,10,1.1,397,393
Sylmar Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1988,13.7,0.1,0.3,1.9,0.5,94.1,0.2,0.3,0.4,2.5,80.7,22.1,16,0.6,415,390
Synergy Quantum Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,582,16.2,0,0,2.2,0,97.4,0,0.2,0,0.2,95.9,17.5,3,0.5,438,443
Taft Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2441,8,0.5,6,11.1,2.8,37.2,0.3,1.3,0.3,40.6,61.1,26.2,17,1.2,517,511
Taft Union High (Taft Union High),Kern,Taft Union High,High School,980,6.4,2,0.4,0.9,0,41,1.2,2,0.1,52.2,59.2,15.4,11,4.2,459,444
Tahoe Truckee High (Tahoe-Truckee Unified),Placer,Tahoe-Truckee Unified,High School,697,9.9,0.7,0.6,0.6,0,33.7,0,2.2,0,62.3,31.3,16.8,12,2.6,524,519
Tahquitz High (Hemet Unified),Riverside,Hemet Unified,High School,1665,9.4,0.5,1.3,11.1,1.1,61.1,0.5,2.9,0.1,21.6,79.7,22.1,8,10,408,414
Tamalpais High (Tamalpais Union High),Marin,Tamalpais Union High,High School,1419,2,0.6,7.5,4.5,1.3,8.9,0.3,2.3,5.6,69.1,8.6,19.1,10,3.6,572,572
