School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Firebaugh High (Firebaugh-Las Deltas Unified),Fresno,Firebaugh-Las Deltas Unified,High School,676,23.1,0,0.1,0.3,0,93.5,0,0,0,6.1,88.5,18,10,5.6,383,409
Five Keys Adult School (SF Sheriff's) (San Francisco Unified),San Francisco,San Francisco Unified,High School,163,5.5,1.8,3.7,39.3,2.5,29.4,0.6,3.1,0,19.6,0,20.4,3,0,N/A,N/A
Five Keys Charter (SF Sheriff's) (San Francisco Unified),San Francisco,San Francisco Unified,High School,382,15.7,1,1.3,27,0.8,54.7,2.1,0.3,0.8,12,3.1,26.3,2,0,N/A,N/A
Five Keys Independence HS (SF Sheriff's) (San Francisco Unified),San Francisco,San Francisco Unified,High School,1925,17.5,0.5,3,24.1,0.7,64,1,1.6,0,5.1,14.1,29,3,0,N/A,N/A
Florin High (Elk Grove Unified),Sacramento,Elk Grove Unified,High School,1494,25.6,0.5,37,14.1,2,34.7,2.5,2.9,0,6.2,92.4,18.7,14,9.8,463,428
Folsom High (Folsom-Cordova Unified),Sacramento,Folsom-Cordova Unified,High School,2300,1.7,0.5,15.6,3,3.5,12,0.2,4,0.2,61.1,13.7,25.5,12,3,576,541
Fontana A. B. Miller High (Fontana Unified),San Bernardino,Fontana Unified,High School,2355,18.8,0.3,0.6,6.7,1,87,0.3,0.3,0,3.9,87.3,20.4,12,5.5,447,426
Fontana High (Fontana Unified),San Bernardino,Fontana Unified,High School,2509,24,0.1,0.6,2.9,0.2,92.7,0.4,0.2,0,3,92.7,20.5,12,6.1,435,423
Foothill High (Twin Rivers Unified),Sacramento,Twin Rivers Unified,High School,1058,12.9,0.5,4.4,19.2,2.1,37.1,1.6,3.2,0.9,31.1,72.7,20,14,8.9,450,444
Foothill High (Tustin Unified),Orange,Tustin Unified,High School,2510,4.9,0.3,6,1,1.5,41.8,0.2,1.8,0.2,47.3,27.4,25.1,12,2.3,537,509
