"Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
1355,9,0.5,8.1,17.6,2.8,30.9,1.6,5.4,0,33,74.8,22.1,12,8.1,470,427,10974,61,13,9,0,0,0,4,13,70343
303,2,2,1.7,9.9,0.3,33.7,0.7,9.2,0,42.6,52.8,18.9,8,8.5,481,503,10974,61,13,9,0,0,0,4,13,70343
1712,22.3,0.8,25.9,22.8,1.3,39.3,4.4,1.9,0,3.6,80.1,17.8,12,13.6,407,382,10974,61,13,9,0,0,0,4,13,70343
2518,8.9,0.2,7.3,2.5,3.9,32.3,0.1,5.9,0.3,47.5,23.5,24.9,13,4,557,513,9371,66,9,7,1,0,0,5,10,82270
2912,4.6,0.2,7.6,1.8,3.4,24.7,0.2,5.9,0.2,56,14,25.9,14,3.4,556,523,9371,66,9,7,1,0,0,5,10,82270
2407,6.9,0.3,6.2,1.7,2.7,27.6,0.5,4.1,0.5,56.5,19.2,25.3,14,1.6,550,519,9371,66,9,7,1,0,0,5,10,82270
1608,10.8,0.4,7,1.6,4.4,38.9,0.2,4.8,0.4,42.4,29,25.6,15,1.9,545,527,9371,66,9,7,1,0,0,5,10,82270
475,7.8,0.6,0.4,0.6,0.4,47.4,0.2,0,0,50.3,31.4,14.5,10,4.3,511,529,22470,63,10,6,1,1,0,8,10,111344
2466,21.8,0,0.9,1.1,2.9,84.5,0.2,0.8,0,9.5,58,22.7,8,6,448,453,11294,57,14,11,0,0,0,6,10,72027
2585,28,0.1,0,0.1,0.7,97.4,0.1,0,0,1.5,84.8,24.5,9,6.1,431,416,11294,57,14,11,0,0,0,6,10,72027
2581,14.4,0.3,2.8,1.3,2.1,67.9,0.4,1,0.1,24.1,44.4,22.5,10,5.3,499,475,11294,57,14,11,0,0,0,6,10,72027
1977,22.8,0.3,1.4,1.8,7.6,81,0.1,0.2,0.1,7.6,62.8,21,10,3.4,436,434,11294,57,14,11,0,0,0,6,10,72027
2897,13.4,0.2,1.3,0.6,1.2,69.3,0.1,0.6,0.2,26.4,50.8,23.3,8,5.2,475,468,9950,52,8,11,2,0,0,10,11,75441
1621,18.5,0.4,0.4,11.2,0.5,80.5,0.4,0.5,1.7,4.5,91.9,19.5,12,11.9,415,411,12127,62,12,10,0,0,0,5,10,78962
2044,10,0.4,3.4,14.7,0.7,70.6,0.8,1.3,0.8,7.1,85.8,24.3,15,10.6,442,436,12127,62,12,10,0,0,0,5,10,78962
2836,5.9,1,1.9,14.9,0.9,63.6,0.9,0.8,0.6,15.4,73.9,25.1,14,7.6,462,441,12127,62,12,10,0,0,0,5,10,78962
2617,18.9,0.4,1,7,0.2,86.9,1,0.2,1.1,2.2,87.6,24.2,11,9.4,431,413,12127,62,12,10,0,0,0,5,10,78962
499,10.2,2.2,0.8,13,0.4,67.7,0.2,5.4,0.4,9.8,83.8,15.1,3,0,462,460,12127,62,12,10,0,0,0,5,10,78962
1797,17.2,0.5,2.6,13.7,0.6,77.2,0.2,0.7,0.3,4.2,93,24.3,7,8.9,412,404,12127,62,12,10,0,0,0,5,10,78962
1350,16.4,0.3,1.6,16.2,0.3,73,0.5,1.1,0.9,6.1,89.3,21.4,10,12.7,416,408,12127,62,12,10,0,0,0,5,10,78962
840,3.8,0.1,16.4,9.5,0.8,68.8,0.2,2.4,0.6,1.1,97.1,20.3,7,3.6,490,479,12265,63,12,12,0,0,0,4,9,76603
1000,11.2,0.4,5.8,1.8,0.9,51.8,0.2,5.4,0.4,33.3,55.5,16.8,13,3.2,490,482,12265,63,12,12,0,0,0,4,9,76603
1581,3.5,0.2,5.9,1.7,0.9,30.9,0.3,6.6,0.3,53.3,26.1,24.4,17,3.7,566,549,12265,63,12,12,0,0,0,4,9,76603
2221,2.1,0.1,22.8,3.5,6.4,18,0.2,8.6,0,40.4,18.9,25.7,17,2.5,583,552,12265,63,12,12,0,0,0,4,9,76603
1192,25.4,0.1,4.2,9.9,0.4,82.7,1.4,1,0.1,0.2,92.1,16.5,4,8.5,374,366,12265,63,12,12,0,0,0,4,9,76603
408,12.5,0,9.3,12.5,4.2,52,0.7,6.1,0.2,15,72.1,21.8,8,4.8,414,440,12265,63,12,12,0,0,0,4,9,76603
400,5.3,0.5,4.3,9.3,5.5,49,0.8,2,0,28.8,52.5,22.1,3,1.5,479,475,12265,63,12,12,0,0,0,4,9,76603
401,13.5,0.2,19.5,10.7,4.2,47.1,1.2,5.7,0.2,11,68.3,22.3,11,1.2,489,451,12265,63,12,12,0,0,0,4,9,76603
320,15.3,0,10.9,10,3.8,58.8,0.6,4.1,0,11.9,74.7,20.8,9,7.1,428,398,12265,63,12,12,0,0,0,4,9,76603
730,23.2,0.1,1.6,9.3,1.2,77.9,0,2.3,0.3,7.1,90.7,22,11,3.6,449,434,12265,63,12,12,0,0,0,4,9,76603
1422,4.9,0.3,3,12,22.9,39.3,0.9,7.5,0.3,13.9,56.4,23.1,13,1.5,473,481,12265,63,12,12,0,0,0,4,9,76603
593,20.4,0.5,2.4,20.1,1.7,63.4,0.2,1,0,10.8,70.5,32.9,2,0,441,418,12265,63,12,12,0,0,0,4,9,76603
571,30.5,0,0,1.6,0,97.7,0,0,0.7,0,99.6,19.6,3,6.8,394,370,12265,63,12,12,0,0,0,4,9,76603
346,11,0.6,19.7,15.6,7.5,38.4,0.3,6.9,0.6,10.4,72.8,22.1,10,6.1,512,460,12265,63,12,12,0,0,0,4,9,76603
1813,5.8,0.3,11.1,4,5.9,34.5,0.2,7.1,0.1,36.8,40,25.7,15,3.8,535,509,12265,63,12,12,0,0,0,4,9,76603
1448,29.3,0.1,4.4,18.4,1.7,69.5,1.7,2.1,0.6,1.7,89.2,25.2,8,5.1,533,508,12265,63,12,12,0,0,0,4,9,76603
2226,13.9,0.4,2.2,9.9,2.5,60.3,0.9,1.5,0.8,21.6,74.2,31.4,5,0,448,456,12265,63,12,12,0,0,0,4,9,76603
2028,26.3,0.3,13.9,10,0.3,71.6,0.4,1.6,0.9,1.1,90.4,20.6,12,2.1,414,400,12265,63,12,12,0,0,0,4,9,76603
686,28.6,0.4,0.3,8.3,0.7,84.3,0.4,2,0.7,2.8,78.9,18.4,12,7.2,411,411,12265,63,12,12,0,0,0,4,9,76603
1125,7.6,0.2,7.7,11.7,2.6,45.7,1.4,7.5,0.4,22.8,66.8,19.7,14,8.7,457,445,12265,63,12,12,0,0,0,4,9,76603
1071,36.8,0.2,25.9,25.8,1.2,43.2,0.1,1.3,0.1,2.2,96.7,17.7,14,5.1,388,378,12265,63,12,12,0,0,0,4,9,76603
2384,4.3,0.3,14.3,6.6,1,31.8,0.5,7.1,0.2,38.2,40.3,23.6,14,4.3,529,490,12265,63,12,12,0,0,0,4,9,76603
2426,7.8,0.2,20.3,4.7,28.9,22.4,0.7,8.5,0.5,13.8,45.1,23.4,16,4.3,520,480,12265,63,12,12,0,0,0,4,9,76603
1915,5.4,0.5,1.3,3.9,1.5,39.2,0.5,5.3,0.2,47.7,40.7,23.5,15,1.8,516,502,12265,63,12,12,0,0,0,4,9,76603
269,5.6,0,2.6,6.7,2.2,28.6,0.4,8.2,0.4,50.9,40.5,26.2,3,9.9,503,489,12265,63,12,12,0,0,0,4,9,76603
1773,11.7,0.3,2.6,17.6,36.4,32.8,1.9,5.6,0.6,2.2,81.2,21.7,15,4.6,476,448,12265,63,12,12,0,0,0,4,9,76603
1762,5.8,0.5,8.7,7.7,3.6,44.3,0.5,7.7,0.1,26.9,58.3,22.2,13,2.9,525,486,12265,63,12,12,0,0,0,4,9,76603
995,6.8,0,2.3,8,1.6,52.2,0.3,5.3,0.2,30.1,55.9,23.9,14,1.1,512,511,12265,63,12,12,0,0,0,4,9,76603
1054,10.6,0.5,2.4,7.6,0.6,59,0.4,4,0.4,25.2,66.9,18.7,14,5.7,448,422,12265,63,12,12,0,0,0,4,9,76603
