District Name,County Name (District),District Type (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Teacher Salary-Avg (District)
San Marino Unified (Los Angeles),Los Angeles,Unified School District,13063,57,9,8,1,1,0,10,15,79935
San Mateo County Office of Education (San Mateo),San Mateo,County Office of Education (COE),N/A,37,18,8,0,0,0,20,3,90592
San Mateo Union High (San Mateo),San Mateo,High School District,16420,51,13,10,3,0,1,6,12,97915
San Mateo-Foster City (San Mateo),San Mateo,Elementary School District,9678,64,12,7,0,0,0,6,10,75328
San Miguel Joint Union (San Luis Obispo),San Luis Obispo,Elementary School District,10920,55,9,11,0,0,0,10,9,61094
San Pasqual Union Elementary (San Diego),San Diego,Elementary School District,9131,66,10,5,0,0,0,7,10,65330
San Pasqual Valley Unified (Imperial),Imperial,Unified School District,19685,51,10,10,3,0,0,9,17,70213
San Rafael City Elementary (Marin),Marin,Elementary School District,10159,61,16,8,0,0,0,5,8,N/A
San Rafael City High (Marin),Marin,High School District,13805,56,13,8,2,0,0,8,11,N/A
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,9605,65,12,7,1,0,0,5,10,74569
San Ysidro Elementary (San Diego),San Diego,Elementary School District,10480,62,8,8,0,0,0,11,10,73689
Sanger Unified (Fresno),Fresno,Unified School District,10384,54,11,10,1,0,0,5,13,62712
Santa Ana Unified (Orange),Orange,Unified School District,11831,64,11,7,1,0,0,7,9,90751
Santa Barbara County Office of Education (Santa Barbara),Santa Barbara,County Office of Education (COE),N/A,43,18,17,0,1,1,16,5,75964
Santa Barbara Unified (Santa Barbara),Santa Barbara,Unified School District,10271,57,14,9,1,1,0,6,12,72860
Santa Clara County Office of Education (Santa Clara),Santa Clara,County Office of Education (COE),N/A,40,13,13,2,0,0,14,4,85843
Santa Clara Elementary (Ventura),Ventura,Elementary School District,10030,65,12,5,0,0,0,6,13,55301
Santa Clara Unified (Santa Clara),Santa Clara,Unified School District,12267,64,15,7,0,0,0,5,9,93378
Santa Cruz City Elementary (Santa Cruz),Santa Cruz,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Santa Cruz City Elementary/High (Santa Cruz),Santa Cruz,Common Administration District,11173,58,14,10,1,0,0,6,11,73031
Santa Cruz City High (Santa Cruz),Santa Cruz,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Santa Cruz County Office of Education (Santa Cruz),Santa Cruz,County Office of Education (COE),N/A,27,20,6,0,3,0,10,5,67373
Santa Maria Joint Union High (Santa Barbara),Santa Barbara,High School District,11542,59,12,10,3,0,0,5,11,82132
Santa Maria-Bonita (Santa Barbara),Santa Barbara,Elementary School District,10269,67,13,7,0,0,0,4,8,82310
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,13196,61,11,9,1,1,0,6,10,80428
Santa Paula Unified (Ventura),Ventura,Unified School District,11105,60,13,7,1,0,0,6,12,71208
Santa Rita Union Elementary (Monterey),Monterey,Elementary School District,8515,58,8,5,0,0,0,7,14,67185
Santa Rosa Elementary (Sonoma),Sonoma,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Santa Rosa Elementary-High, City Of (Sonoma)",Sonoma,Common Administration District,11301,64,12,10,1,1,0,5,7,74420
Santa Rosa High (Sonoma),Sonoma,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Santa Ynez Valley Union High (Santa Barbara),Santa Barbara,High School District,11848,47,9,7,4,0,0,11,16,74774
Santee (San Diego),San Diego,Elementary School District,8493,68,9,6,0,1,0,7,9,77252
Saratoga Union Elementary (Santa Clara),Santa Clara,Elementary School District,14617,66,10,5,0,0,0,9,9,93208
Saucelito Elementary (Tulare),Tulare,Elementary School District,11639,58,13,4,0,0,0,13,13,56753
Saugus Union (Los Angeles),Los Angeles,Elementary School District,8653,64,10,9,0,0,0,6,9,78879
Sausalito Marin City (Marin),Marin,Elementary School District,33873,47,13,5,0,0,0,14,11,79314
Savanna Elementary (Orange),Orange,Elementary School District,9919,62,2,5,6,0,0,6,14,84858
SBC - High Tech High (San Diego),San Diego,Statewide Benefit Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Academia Avance Charter (Los Angeles),Los Angeles,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Anahuacalmecac International University Preparatory of North America (Los Angeles),Los Angeles,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Audeo Charter II (San Diego),San Diego,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Barack Obama Charter (Los Angeles),Los Angeles,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Baypoint Preparatory Academy (Riverside),Riverside,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Lifeline Education Charter (Los Angeles),Los Angeles,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Magnolia Science Academy Santa Ana (Orange),Orange,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Mission Preparatory (San Francisco),San Francisco,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - New West Charter (Los Angeles),Los Angeles,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Olive Grove Charter (Santa Barbara),Santa Barbara,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - OnePurpose (San Francisco),San Francisco,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Paramount Collegiate Academy (Sacramento),Sacramento,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Ridgecrest Charter (Kern),Kern,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - San Francisco Flex Academy (San Francisco),San Francisco,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - The New School of San Francisco (San Francisco),San Francisco,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - The School of Arts and Enterprise (Los Angeles),Los Angeles,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Thrive Public (San Diego),San Diego,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Today's Fresh Start Charter (Los Angeles),Los Angeles,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scotia Union Elementary (Humboldt),Humboldt,Elementary School District,9287,69,12,3,1,0,0,5,9,N/A
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,12923,53,13,8,4,0,0,7,12,54933
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,9018,64,12,7,1,0,0,6,8,N/A
Sebastopol Union Elementary (Sonoma),Sonoma,Elementary School District,11012,63,8,9,0,0,0,9,10,67218
Seeley Union Elementary (Imperial),Imperial,Elementary School District,12028,57,11,4,0,0,0,14,13,70875
Seiad Elementary (Siskiyou),Siskiyou,Elementary School District,16630,53,15,9,0,0,0,8,15,N/A
Selma Unified (Fresno),Fresno,Unified School District,11002,60,11,7,1,0,0,6,11,N/A
Semitropic Elementary (Kern),Kern,Elementary School District,10618,48,8,16,0,0,0,12,13,50058
Sequoia Union Elementary (Tulare),Tulare,Elementary School District,8999,50,6,5,0,0,0,8,31,58611
Sequoia Union High (San Mateo),San Mateo,High School District,15616,56,12,12,1,0,0,7,11,94414
Shaffer Union Elementary (Lassen),Lassen,Elementary School District,10261,50,22,6,0,0,0,9,8,65560
Shandon Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,12928,57,11,7,1,0,0,9,10,59142
Shasta County Office of Education (Shasta),Shasta,County Office of Education (COE),N/A,15,20,23,10,0,0,20,12,N/A
Shasta Union Elementary (Shasta),Shasta,Elementary School District,10205,63,14,3,0,1,0,8,11,52973
Shasta Union High (Shasta),Shasta,High School District,11756,57,9,12,2,0,0,7,13,70471
Shiloh Elementary (Stanislaus),Stanislaus,Elementary School District,9868,56,15,3,0,0,0,9,13,N/A
Shoreline Unified (Marin),Marin,Unified School District,24249,63,9,11,1,1,0,6,8,N/A
Sierra County Office of Education (Sierra),Sierra,County Office of Education (COE),N/A,37,8,9,1,0,0,41,3,N/A
Sierra Sands Unified (Kern),Kern,Unified School District,9727,60,11,9,1,0,0,6,13,61782
Sierra Unified (Fresno),Fresno,Unified School District,11402,58,6,14,0,0,0,7,14,64109
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,13307,56,9,7,1,0,0,13,12,62619
Silver Fork Elementary (El Dorado),El Dorado,Elementary School District,31748,65,4,5,0,0,0,17,9,N/A
Silver Valley Unified (San Bernardino),San Bernardino,Unified School District,16341,55,14,11,0,0,0,9,11,67698
Simi Valley Unified (Ventura),Ventura,Unified School District,9445,62,11,8,1,0,0,5,12,75679
Siskiyou County Office of Education (Siskiyou),Siskiyou,County Office of Education (COE),N/A,33,16,28,0,0,0,15,3,54170
Siskiyou Union High (Siskiyou),Siskiyou,High School District,13302,52,12,6,7,0,0,6,14,N/A
Snelling-Merced Falls Union Elementary (Merced),Merced,Elementary School District,12176,49,10,17,0,0,0,8,13,N/A
Snowline Joint Unified (San Bernardino),San Bernardino,Unified School District,9521,56,9,9,0,0,0,6,17,73029
Solana Beach Elementary (San Diego),San Diego,Elementary School District,14173,67,8,5,0,0,0,9,11,79247
Solano County Office of Education (Solano),Solano,County Office of Education (COE),N/A,50,13,15,2,0,0,14,6,67131
Soledad Unified (Monterey),Monterey,Unified School District,10492,56,13,8,1,0,0,8,11,67532
Solvang Elementary (Santa Barbara),Santa Barbara,Elementary School District,8443,55,10,1,0,0,0,10,12,60937
Somis Union (Ventura),Ventura,Elementary School District,11518,50,11,7,2,0,0,14,8,68760
Sonoma County Office of Education (Sonoma),Sonoma,County Office of Education (COE),N/A,35,26,8,0,0,3,14,3,72321
Sonoma Valley Unified (Sonoma),Sonoma,Unified School District,12196,68,11,8,1,0,0,5,7,62595
Sonora Elementary (Tuolumne),Tuolumne,Elementary School District,7675,64,7,8,0,0,0,9,8,N/A
Sonora Union High (Tuolumne),Tuolumne,High School District,13063,45,12,17,3,0,0,8,12,68625
Soquel Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,9346,63,12,6,0,0,0,8,10,65504
Soulsbyville Elementary (Tuolumne),Tuolumne,Elementary School District,9082,70,7,4,0,0,0,9,8,63263
South Bay Union (San Diego),San Diego,Elementary School District,11534,64,12,6,0,0,0,8,10,79002
South Bay Union Elementary (Humboldt),Humboldt,Elementary School District,9271,61,10,6,0,0,0,7,8,54981
South Fork Union (Kern),Kern,Elementary School District,10620,53,11,9,1,1,0,9,16,62213
South Monterey County Joint Union High (Monterey),Monterey,High School District,10551,49,13,8,2,0,0,8,14,N/A
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,10066,66,11,6,1,0,0,6,10,82929
South San Francisco Unified (San Mateo),San Mateo,Unified School District,9136,60,11,10,0,0,0,5,9,68716
South Whittier Elementary (Los Angeles),Los Angeles,Elementary School District,10448,65,9,5,0,0,0,9,11,83024
Southern Humboldt Joint Unified (Humboldt),Humboldt,Unified School District,11875,59,8,14,0,0,0,8,8,N/A
Southern Kern Unified (Kern),Kern,Unified School District,11092,58,13,7,2,0,0,6,13,65374
Southern Trinity Joint Unified (Trinity),Trinity,Unified School District,19555,49,13,13,3,0,0,8,12,58091
Southside Elementary (San Benito),San Benito,Elementary School District,8688,61,12,0,0,0,0,8,20,N/A
Spencer Valley Elementary (San Diego),San Diego,Elementary School District,68437,75,4,9,0,0,0,5,3,N/A
Spreckels Union Elementary (Monterey),Monterey,Elementary School District,8254,62,6,7,0,0,0,10,11,61896
Springville Union Elementary (Tulare),Tulare,Elementary School District,8760,74,6,7,0,0,0,6,5,63974
Standard Elementary (Kern),Kern,Elementary School District,10103,66,8,7,0,0,0,6,10,68913
Stanislaus County Office of Education (Stanislaus),Stanislaus,County Office of Education (COE),N/A,38,21,14,0,0,1,13,7,71420
Stanislaus Union Elementary (Stanislaus),Stanislaus,Elementary School District,8643,69,10,3,0,0,0,5,10,74172
Stockton Unified (San Joaquin),San Joaquin,Unified School District,11268,62,13,8,0,0,0,4,12,68852
Stone Corral Elementary (Tulare),Tulare,Elementary School District,12042,59,13,6,0,0,0,10,10,46521
Stony Creek Joint Unified (Glenn),Glenn,Unified School District,19994,49,5,10,2,0,1,14,15,57778
Strathmore Union Elementary (Tulare),Tulare,Elementary School District,10096,65,10,6,0,0,0,8,10,70317
Sulphur Springs Union (Los Angeles),Los Angeles,Elementary School District,9616,64,8,9,0,0,0,7,9,73958
Summerville Elementary (Tuolumne),Tuolumne,Elementary School District,9757,58,6,11,1,0,0,11,10,N/A
Summerville Union High (Tuolumne),Tuolumne,High School District,13235,56,7,13,0,0,0,10,10,71451
Sundale Union Elementary (Tulare),Tulare,Elementary School District,8002,74,3,4,0,0,0,6,12,69169
Sunnyside Union Elementary (Tulare),Tulare,Elementary School District,10093,62,5,5,0,2,0,14,12,60880
Sunnyvale (Santa Clara),Santa Clara,Elementary School District,11515,64,12,9,0,0,0,7,8,76987
Sunol Glen Unified (Alameda),Alameda,Unified School District,11236,57,19,0,3,0,0,9,12,N/A
Surprise Valley Joint Unified (Modoc),Modoc,Unified School District,13959,48,16,5,2,0,0,11,17,45870
Susanville Elementary (Lassen),Lassen,Elementary School District,8335,66,11,3,0,0,0,8,10,62040
Sutter County Office of Education (Sutter),Sutter,County Office of Education (COE),N/A,35,26,9,0,5,1,13,7,69531
Sutter Union High (Sutter),Sutter,High School District,9586,54,11,13,0,0,0,7,15,65212
Sweetwater Union High (San Diego),San Diego,High School District,11229,59,15,9,1,0,0,7,8,83046
Sylvan Union Elementary (Stanislaus),Stanislaus,Elementary School District,9196,66,11,5,1,0,0,4,13,71429
Taft City (Kern),Kern,Elementary School District,11071,60,8,8,0,1,0,7,10,61883
Taft Union High (Kern),Kern,High School District,24431,38,8,9,3,0,0,4,21,88926
Tahoe-Truckee Unified (Placer),Placer,Unified School District,15343,57,13,11,1,0,0,6,10,80047
Tamalpais Union High (Marin),Marin,High School District,16978,56,9,9,3,0,0,7,13,96948
Tehachapi Unified (Kern),Kern,Unified School District,9539,57,10,12,1,0,0,7,11,64252
Tehama County Department of Education (Tehama),Tehama,County Office of Education (COE),N/A,35,24,14,6,1,0,15,4,64626
Temecula Valley Unified (Riverside),Riverside,Unified School District,9509,68,9,8,0,0,1,5,9,86242
Temple City Unified (Los Angeles),Los Angeles,Unified School District,8775,65,9,6,0,0,1,7,10,N/A
Templeton Unified (San Luis Obispo),San Luis Obispo,Unified School District,9481,65,8,6,1,0,0,7,10,65305
Terra Bella Union Elementary (Tulare),Tulare,Elementary School District,10673,59,10,9,0,0,0,10,10,71412
Thermalito Union Elementary (Butte),Butte,Elementary School District,10287,61,10,8,0,0,0,7,12,75121
Three Rivers Union Elementary (Tulare),Tulare,Elementary School District,7536,63,9,2,0,0,0,10,11,42894
Tipton Elementary (Tulare),Tulare,Elementary School District,10653,67,10,5,0,0,0,8,8,69673
Torrance Unified (Los Angeles),Los Angeles,Unified School District,9562,66,10,7,1,0,0,6,8,75542
Tracy Joint Unified (San Joaquin),San Joaquin,Unified School District,8913,61,14,7,1,0,0,4,11,73984
Traver Joint Elementary (Tulare),Tulare,Elementary School District,11712,55,12,6,0,0,0,12,12,65409
Travis Unified (Solano),Solano,Unified School District,9528,59,11,10,1,0,0,8,10,69521
Tres Pinos Union Elementary (San Benito),San Benito,Elementary School District,8733,69,13,0,0,0,0,7,11,N/A
Trinidad Union Elementary (Humboldt),Humboldt,Elementary School District,9761,67,11,3,0,0,0,6,9,N/A
Trinity Alps Unified (Trinity),Trinity,Unified School District,12545,64,9,7,2,0,0,6,11,65848
Trinity Center Elementary (Trinity),Trinity,Elementary School District,26624,49,19,3,0,0,0,18,11,N/A
Trinity County Office of Education (Trinity),Trinity,County Office of Education (COE),N/A,4,26,22,2,0,0,24,5,N/A
Trona Joint Unified (San Bernardino),San Bernardino,Unified School District,22147,51,12,7,0,1,0,10,18,71963
Tulare City (Tulare),Tulare,Elementary School District,9330,65,10,7,0,0,0,5,12,76891
Tulare County Office of Education (Tulare),Tulare,County Office of Education (COE),N/A,34,20,17,9,1,0,7,10,82034
Tulare Joint Union High (Tulare),Tulare,High School District,10731,56,9,11,2,0,0,7,13,76801
Tulelake Basin Joint Unified (Modoc),Modoc,Unified School District,13585,56,8,6,5,0,0,10,14,70876
Tuolumne County Superintendent of Schools (Tuolumne),Tuolumne,County Office of Education (COE),N/A,39,19,19,0,0,0,19,3,59513
Turlock Unified (Stanislaus),Stanislaus,Unified School District,9125,65,12,5,1,0,0,4,10,78537
Tustin Unified (Orange),Orange,Unified School District,8908,63,11,8,1,0,0,5,11,82661
Twain Harte (Tuolumne),Tuolumne,Elementary School District,12808,53,11,5,1,0,0,8,19,74160
Twin Hills Union Elementary (Sonoma),Sonoma,Elementary School District,9706,63,8,6,0,0,0,10,13,59551
Twin Ridges Elementary (Nevada),Nevada,Elementary School District,16104,44,10,7,0,0,0,14,22,54166
Twin Rivers Unified (Sacramento),Sacramento,Unified School District,10902,60,12,9,1,0,0,8,10,73962
Two Rock Union (Sonoma),Sonoma,Elementary School District,13406,61,11,12,0,1,0,8,6,N/A
Ukiah Unified (Mendocino),Mendocino,Unified School District,11514,62,12,8,1,0,0,6,11,66898
Union Elementary (Santa Clara),Santa Clara,Elementary School District,9407,62,14,5,0,0,0,7,10,73476
Union Hill Elementary (Nevada),Nevada,Elementary School District,9736,60,8,6,1,0,0,9,14,71645
Union Joint Elementary (Marin),Marin,Elementary School District,29547,58,13,1,0,0,0,9,7,69042
Upland Unified (San Bernardino),San Bernardino,Unified School District,10382,69,9,7,0,1,0,4,8,79752
Upper Lake Union Elementary (Lake),Lake,Elementary School District,10782,59,9,8,0,0,0,10,13,N/A
Upper Lake Union High (Lake),Lake,High School District,15319,44,12,14,5,0,0,8,15,N/A
Vacaville Unified (Solano),Solano,Unified School District,9109,61,13,12,1,0,0,3,9,67498
Val Verde Unified (Riverside),Riverside,Unified School District,10136,61,11,8,1,0,0,5,13,80765
Valle Lindo Elementary (Los Angeles),Los Angeles,Elementary School District,10607,68,6,2,0,0,0,9,14,N/A
Vallecito Union (Calaveras),Calaveras,Elementary School District,12438,58,13,9,0,0,0,9,10,68508
Vallecitos Elementary (San Diego),San Diego,Elementary School District,12322,73,10,2,0,0,0,8,6,N/A
Vallejo City Unified (Solano),Solano,Unified School District,11494,64,10,6,0,0,0,8,12,N/A
Valley Center-Pauma Unified (San Diego),San Diego,Unified School District,11213,56,16,9,2,0,0,6,11,79937
Valley Home Joint Elementary (Stanislaus),Stanislaus,Elementary School District,9458,52,19,6,0,0,0,9,11,49271
Ventura County Office of Education (Ventura),Ventura,County Office of Education (COE),N/A,39,21,20,1,0,0,13,5,70762
Ventura Unified (Ventura),Ventura,Unified School District,10005,58,12,8,1,0,2,5,11,73902
Victor Elementary (San Bernardino),San Bernardino,Elementary School District,9184,64,8,11,0,0,0,5,11,82963
Victor Valley Union High (San Bernardino),San Bernardino,High School District,11173,58,10,10,2,0,0,6,13,77566
Vineland Elementary (Kern),Kern,Elementary School District,9891,57,10,8,0,0,0,6,15,N/A
Visalia Unified (Tulare),Tulare,Unified School District,9236,59,13,6,3,0,0,5,13,71211
Vista del Mar Union (Santa Barbara),Santa Barbara,Elementary School District,17457,55,9,7,0,0,0,11,14,75675
Vista Unified (San Diego),San Diego,Unified School District,11065,63,13,7,1,1,0,5,9,74142
Walnut Creek Elementary (Contra Costa),Contra Costa,Elementary School District,9676,68,11,5,0,0,0,6,9,77912
Walnut Valley Unified (Los Angeles),Los Angeles,Unified School District,8775,61,9,10,1,0,0,5,11,81678
Warner Unified (San Diego),San Diego,Unified School District,21108,65,2,9,0,0,0,13,8,N/A
Wasco Union Elementary (Kern),Kern,Elementary School District,9643,59,12,9,0,0,0,4,12,65568
Wasco Union High (Kern),Kern,High School District,11106,46,11,7,3,0,0,9,16,N/A
Washington Colony Elementary (Fresno),Fresno,Elementary School District,9886,65,9,8,0,0,0,9,9,N/A
Washington Unified (Fresno),Fresno,Unified School District,9747,60,10,8,0,0,0,9,12,63695
Washington Unified (Yolo),Yolo,Unified School District,12554,53,12,10,1,0,0,8,12,65060
Washington Union Elementary (Monterey),Monterey,Elementary School District,9065,63,11,6,0,0,0,8,9,66247
Waterford Unified (Stanislaus),Stanislaus,Unified School District,10864,55,9,6,1,1,0,7,10,71374
Waugh Elementary (Sonoma),Sonoma,Elementary School District,8764,71,10,4,0,0,0,7,9,79193
Waukena Joint Union Elementary (Tulare),Tulare,Elementary School District,9193,62,11,8,1,0,0,10,9,50935
Weaver Union (Merced),Merced,Elementary School District,9301,67,9,6,0,0,0,5,11,81079
Weed Union Elementary (Siskiyou),Siskiyou,Elementary School District,10694,41,7,3,1,0,0,4,42,56161
West Contra Costa Unified (Contra Costa),Contra Costa,Unified School District,10591,54,14,10,2,0,0,8,11,63252
West Covina Unified (Los Angeles),Los Angeles,Unified School District,11511,59,14,8,1,0,0,7,10,76863
West Park Elementary (Fresno),Fresno,Elementary School District,10074,57,13,8,0,0,0,9,10,N/A
West Side Union Elementary (Sonoma),Sonoma,Elementary School District,10168,61,12,3,0,4,0,10,10,58743
West Sonoma County Union High (Sonoma),Sonoma,High School District,12004,61,7,16,2,0,0,6,7,67774
Western Placer Unified (Placer),Placer,Unified School District,9363,63,11,6,2,0,0,6,10,75996
Westminster (Orange),Orange,Elementary School District,10146,68,11,5,0,1,0,6,9,84303
Westmorland Union Elementary (Imperial),Imperial,Elementary School District,12083,58,13,5,0,0,0,12,11,69920
Westside Elementary (Fresno),Fresno,Elementary School District,12246,52,8,8,0,0,0,13,19,53174
Westside Union Elementary (Los Angeles),Los Angeles,Elementary School District,8963,68,9,5,0,0,0,6,9,78073
Westwood Unified (Lassen),Lassen,Unified School District,14146,44,14,1,1,0,0,8,31,51449
Wheatland (Yuba),Yuba,Elementary School District,11993,58,11,10,0,0,0,7,12,77533
Wheatland Union High (Yuba),Yuba,High School District,10542,53,12,11,2,0,0,8,11,65273
Whitmore Union Elementary (Shasta),Shasta,Elementary School District,23879,52,20,4,0,0,0,14,11,N/A
Whittier City Elementary (Los Angeles),Los Angeles,Elementary School District,10289,60,13,6,0,0,0,9,11,74734
Whittier Union High (Los Angeles),Los Angeles,High School District,11795,61,10,11,0,0,0,6,10,89478
William S. Hart Union High (Los Angeles),Los Angeles,High School District,9650,57,11,12,1,0,0,8,11,78175
Williams Unified (Colusa),Colusa,Unified School District,9540,60,11,3,1,0,0,8,11,67771
Willits Unified (Mendocino),Mendocino,Unified School District,12257,57,10,10,1,0,0,8,14,54703
Willow Creek Elementary (Siskiyou),Siskiyou,Elementary School District,13102,39,24,9,1,0,0,15,9,N/A
Willow Grove Union Elementary (San Benito),San Benito,Elementary School District,19628,62,12,0,0,0,0,11,15,N/A
Willows Unified (Glenn),Glenn,Unified School District,8523,54,12,6,0,0,0,6,14,78595
Wilmar Union Elementary (Sonoma),Sonoma,Elementary School District,9358,65,11,4,0,4,0,10,5,60629
Wilsona Elementary (Los Angeles),Los Angeles,Elementary School District,11549,66,6,7,0,0,0,7,11,N/A
Windsor Unified (Sonoma),Sonoma,Unified School District,9854,59,10,13,1,0,0,4,9,62410
Winship-Robbins (Sutter),Sutter,Elementary School District,10861,47,15,10,0,0,0,8,17,49283
Winters Joint Unified (Yolo),Yolo,Unified School District,10463,57,14,9,0,0,0,8,11,69371
Winton (Merced),Merced,Elementary School District,9770,64,10,6,2,0,0,6,11,71573
Wiseburn Unified (Los Angeles),Los Angeles,Unified School District,10544,59,11,12,0,0,0,7,7,83734
Woodlake Unified (Tulare),Tulare,Unified School District,10489,53,11,12,2,0,0,5,15,63717
Woodland Joint Unified (Yolo),Yolo,Unified School District,10283,61,11,9,1,0,0,7,10,65991
Woodside Elementary (San Mateo),San Mateo,Elementary School District,25901,66,12,2,0,0,0,11,7,98555
Woodville Union Elementary (Tulare),Tulare,Elementary School District,13050,66,13,2,2,0,0,5,13,69271
Wright Elementary (Sonoma),Sonoma,Elementary School District,11043,67,7,11,1,0,0,7,8,63876
Yolo County Office of Education (Yolo),Yolo,County Office of Education (COE),N/A,40,17,17,0,0,0,18,7,58131
Yosemite Unified (Madera),Madera,Unified School District,10855,53,10,10,0,0,0,8,15,65650
Yreka Union Elementary (Siskiyou),Siskiyou,Elementary School District,9360,62,10,4,1,0,0,7,12,59234
Yreka Union High (Siskiyou),Siskiyou,High School District,14176,51,7,10,8,0,0,9,13,75243
Yuba City Unified (Sutter),Sutter,Unified School District,9736,61,13,8,1,0,0,5,10,66431
Yuba County Office of Education (Yuba),Yuba,County Office of Education (COE),N/A,46,15,14,0,0,1,14,5,56952
Yucaipa-Calimesa Joint Unified (San Bernardino),San Bernardino,Unified School District,9481,60,11,10,1,0,0,6,9,77421
