District Name,County Name (District),District Type (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Teacher Salary-Avg (District)
Butteville Union Elementary (Siskiyou),Siskiyou,Elementary School District,9013,60,12,4,2,0,2,9,11,N/A
Buttonwillow Union Elementary (Kern),Kern,Elementary School District,10664,51,6,11,0,0,0,10,17,60011
Byron Union Elementary (Contra Costa),Contra Costa,Elementary School District,9769,63,8,7,0,3,0,9,11,76072
Cabrillo Unified (San Mateo),San Mateo,Unified School District,10330,58,17,8,1,0,0,7,7,68763
Cajon Valley Union (San Diego),San Diego,Elementary School District,9955,64,10,10,0,0,0,6,10,76841
Calaveras County Office of Education (Calaveras),Calaveras,County Office of Education (COE),N/A,35,13,26,0,3,0,20,3,58504
Calaveras Unified (Calaveras),Calaveras,Unified School District,9650,57,12,13,1,0,0,5,10,66326
Calexico Unified (Imperial),Imperial,Unified School District,11628,52,10,8,1,0,0,6,20,76397
Caliente Union Elementary (Kern),Kern,Elementary School District,18312,35,8,6,0,0,0,11,39,38074
Calipatria Unified (Imperial),Imperial,Unified School District,11705,51,9,8,1,0,0,9,21,70196
Calistoga Joint Unified (Napa),Napa,Unified School District,16509,60,11,5,3,0,0,11,9,96155
Cambrian (Santa Clara),Santa Clara,Elementary School District,9607,71,10,5,0,0,0,6,8,82103
Camino Union Elementary (El Dorado),El Dorado,Elementary School District,10002,65,7,6,0,0,0,9,11,68482
Campbell Union (Santa Clara),Santa Clara,Elementary School District,10547,63,16,6,0,0,0,5,8,77909
Campbell Union High (Santa Clara),Santa Clara,High School District,11632,57,10,8,3,0,0,7,10,77441
Camptonville Elementary (Yuba),Yuba,Elementary School District,10585,49,19,9,0,0,0,5,13,47629
Canyon Elementary (Contra Costa),Contra Costa,Elementary School District,11914,57,23,2,0,4,0,7,8,60817
Capay Joint Union Elementary (Glenn),Glenn,Elementary School District,9118,64,12,3,0,0,0,7,8,N/A
Capistrano Unified (Orange),Orange,Unified School District,9309,66,10,8,1,0,0,4,9,86146
Cardiff Elementary (San Diego),San Diego,Elementary School District,13286,67,10,4,0,0,0,8,7,82058
Carlsbad Unified (San Diego),San Diego,Unified School District,9321,64,10,8,1,0,0,6,10,79795
Carmel Unified (Monterey),Monterey,Unified School District,19695,58,12,9,0,0,0,9,11,102324
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,11803,54,12,9,4,2,0,7,12,65603
Caruthers Unified (Fresno),Fresno,Unified School District,10461,51,12,8,2,0,0,7,18,62745
Cascade Union Elementary (Shasta),Shasta,Elementary School District,12450,62,10,9,0,1,0,8,9,N/A
Castaic Union (Los Angeles),Los Angeles,Elementary School District,8732,62,10,7,0,0,0,8,9,71568
Castle Rock Union Elementary (Shasta),Shasta,Elementary School District,13125,54,15,12,0,0,0,12,7,43329
Castro Valley Unified (Alameda),Alameda,Unified School District,9612,62,13,8,1,0,0,6,9,78965
Cayucos Elementary (San Luis Obispo),San Luis Obispo,Elementary School District,14793,63,9,4,2,0,0,11,9,68953
Center Joint Unified (Sacramento),Sacramento,Unified School District,9545,63,10,6,1,0,0,6,13,74900
Centinela Valley Union High (Los Angeles),Los Angeles,High School District,12851,54,11,8,1,0,0,8,13,75050
Central Elementary (San Bernardino),San Bernardino,Elementary School District,8910,62,10,7,0,4,0,6,9,75258
Central Unified (Fresno),Fresno,Unified School District,8993,55,10,11,1,0,0,6,13,69635
Central Union Elementary (Kings),Kings,Elementary School District,13732,62,14,5,0,0,0,7,11,81264
Central Union High (Imperial),Imperial,High School District,10892,57,11,9,2,0,0,7,13,83222
Centralia Elementary (Orange),Orange,Elementary School District,10316,68,6,8,0,0,0,7,10,88172
Ceres Unified (Stanislaus),Stanislaus,Unified School District,9929,58,16,8,0,0,0,4,10,76619
Chaffey Joint Union High (San Bernardino),San Bernardino,High School District,10402,63,9,10,1,0,0,4,11,94953
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,9604,57,10,9,0,1,0,7,11,80390
Chatom Union (Stanislaus),Stanislaus,Elementary School District,10480,61,10,6,0,0,0,11,10,68774
Chawanakee Unified (Madera),Madera,Unified School District,11004,50,9,7,0,0,0,9,13,55096
Chicago Park Elementary (Nevada),Nevada,Elementary School District,12248,52,14,4,1,0,0,13,12,55739
Chico Unified (Butte),Butte,Unified School District,10116,65,10,10,1,0,0,6,9,67547
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,9158,62,12,7,1,0,0,4,11,79870
Chowchilla Elementary (Madera),Madera,Elementary School District,9070,58,13,7,0,3,0,8,9,71985
Chowchilla Union High (Madera),Madera,High School District,9778,50,8,10,3,0,0,10,16,59223
Chualar Union (Monterey),Monterey,Elementary School District,10159,46,14,9,0,0,0,15,8,N/A
Chula Vista Elementary (San Diego),San Diego,Elementary School District,9903,62,10,11,2,0,0,4,10,72171
Cienega Union Elementary (San Benito),San Benito,Elementary School District,11206,65,8,0,0,0,0,10,10,N/A
Cinnabar Elementary (Sonoma),Sonoma,Elementary School District,11670,63,11,8,0,0,0,8,10,62734
Claremont Unified (Los Angeles),Los Angeles,Unified School District,10470,57,10,14,1,0,0,7,8,81763
Clay Joint Elementary (Fresno),Fresno,Elementary School District,8538,62,14,6,0,0,0,7,11,62771
Clear Creek Elementary (Nevada),Nevada,Elementary School District,9411,59,14,1,1,0,0,13,10,63558
Cloverdale Unified (Sonoma),Sonoma,Unified School District,11058,69,8,5,1,0,0,8,9,66283
Clovis Unified (Fresno),Fresno,Unified School District,9228,60,12,10,2,0,0,5,11,68733
Coachella Valley Unified (Riverside),Riverside,Unified School District,11326,62,11,10,0,0,0,6,9,76496
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,11275,57,12,10,1,0,1,5,13,68280
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,17082,50,8,9,1,0,0,12,18,74752
Coffee Creek Elementary (Trinity),Trinity,Elementary School District,27656,52,14,2,0,0,0,12,14,50551
Cold Spring Elementary (Santa Barbara),Santa Barbara,Elementary School District,23735,62,13,0,0,0,0,9,9,N/A
Colfax Elementary (Placer),Placer,Elementary School District,10514,59,7,6,0,1,0,10,11,59949
College Elementary (Santa Barbara),Santa Barbara,Elementary School District,20614,61,8,0,0,1,0,15,9,N/A
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,10690,61,10,9,1,0,0,6,11,80230
Columbia Elementary (Shasta),Shasta,Elementary School District,10025,62,11,7,1,2,0,8,6,64021
Columbia Union (Tuolumne),Tuolumne,Elementary School District,9409,59,4,11,0,0,0,11,11,57587
Columbine Elementary (Tulare),Tulare,Elementary School District,8867,70,6,3,0,0,0,10,10,80316
Colusa County Office of Education (Colusa),Colusa,County Office of Education (COE),N/A,50,12,15,0,0,0,21,1,65439
Colusa Unified (Colusa),Colusa,Unified School District,9878,63,7,6,1,0,0,7,11,70412
Compton Unified (Los Angeles),Los Angeles,Unified School District,11645,61,8,7,0,0,0,8,14,77054
Conejo Valley Unified (Ventura),Ventura,Unified School District,9366,66,11,6,2,1,0,5,9,78911
Contra Costa County Office of Education (Contra Costa),Contra Costa,County Office of Education (COE),N/A,48,21,10,0,0,0,16,4,76110
Corcoran Joint Unified (Kings),Kings,Unified School District,10150,58,12,5,2,0,0,7,13,67363
Corning Union Elementary (Tehama),Tehama,Elementary School District,9859,63,11,6,1,0,0,7,10,64456
Corning Union High (Tehama),Tehama,High School District,12824,51,6,13,3,1,0,9,15,N/A
Corona-Norco Unified (Riverside),Riverside,Unified School District,9901,65,11,9,1,0,0,4,10,95613
Coronado Unified (San Diego),San Diego,Unified School District,10878,63,12,8,1,1,0,6,9,69792
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,10496,63,11,10,1,0,0,6,9,61467
