"","District Name","School Name","County Name","School Type (School)","Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
"1042","San Dieguito Union High","Canyon Crest Academy","San Diego","High School","2255","0.7","0.2","25.6","0.8","1.2","6.9","0.3","1.8","0","63.1","2.9","25.3","8","0.8","640","628","9952","60","11","11","2","0","0","5","9","97644"
"1043","San Francisco Unified","Five Keys Adult School","San Francisco","High School","163","5.5","1.8","3.7","39.3","2.5","29.4","0.6","3.1","0","19.6","0","20.4","3","0","N/A","N/A","11319","41","23","7","1","0","0","5","9","67537"
"1044","San Francisco Unified","Galileo High","San Francisco","High School","1890","19.2","0.3","62.9","5","4.9","16.8","0.7","0.7","2.9","6","76.3","18.6","14","2","507","430","11319","41","23","7","1","0","0","5","9","67537"
"1045","San Francisco Unified","Five Keys Independence HS","San Francisco","High School","1925","17.5","0.5","3","24.1","0.7","64","1","1.6","0","5.1","14.1","29","3","0","N/A","N/A","11319","41","23","7","1","0","0","5","9","67537"
"1046","San Francisco Unified","Mission High","San Francisco","High School","1058","37.5","0.8","14.5","15.4","3.4","50.3","0.9","1","3.2","10.6","68.1","13.5","12","2.1","444","408","11319","41","23","7","1","0","0","5","9","67537"
"1047","San Francisco Unified","KIPP San Francisco College Preparatory","San Francisco","High School","312","10.9","1","4.5","33.3","2.6","54.5","1.6","0.3","0","2.2","82.4","26.4","1","11.7","N/A","N/A","11319","41","23","7","1","0","0","5","9","67537"
"1048","San Francisco Unified","Marshall","San Francisco","High School","444","56.5","0.2","35.4","10.1","2.5","44.8","2.9","0.9","1.8","1.4","80.2","11.1","11","0.9","447","350","11319","41","23","7","1","0","0","5","9","67537"
"1049","San Francisco Unified","Gateway High","San Francisco","High School","482","8.3","0.2","12.7","14.5","1.2","32.8","0","8.3","4.1","26.1","39.8","17.8","6","3.1","466","457","11319","41","23","7","1","0","0","5","9","67537"
"1050","San Francisco Unified","City Arts and Tech High","San Francisco","High School","340","10.9","0.9","1.2","20.6","4.7","57.6","2.6","4.1","2.9","5.3","73.5","18.1","4","15.4","408","398","11319","41","23","7","1","0","0","5","9","67537"
"1051","San Francisco Unified","Leadership High","San Francisco","High School","268","19","0","0.7","16.8","5.6","62.3","1.1","6","5.6","1.9","87.3","21.6","4","3.6","349","369","11319","41","23","7","1","0","0","5","9","67537"
"1052","San Francisco Unified","Lowell High","San Francisco","High School","2685","1.8","0.3","56.7","1.9","7.9","9.9","0.9","2.1","5.1","15.2","39.7","19.6","15","0.1","627","580","11319","41","23","7","1","0","0","5","9","67537"
"1053","San Francisco Unified","Balboa High","San Francisco","High School","1260","15.4","0.3","39.1","6.8","10.6","32.9","2.7","1","2.5","4.1","68.7","17","12","1.7","510","459","11319","41","23","7","1","0","0","5","9","67537"
"1054","San Francisco Unified","Life Learning Academy Charter","San Francisco","High School","22","9.1","0","0","59.1","0","40.9","0","0","0","0","59.1","7.3","12","0","N/A","N/A","11319","41","23","7","1","0","0","5","9","67537"
"1055","San Francisco Unified","O'Connell","San Francisco","High School","319","19.7","0.6","10","16.9","7.2","57.4","0.3","2.2","0.6","4.7","63.6","9.4","11","4.2","415","398","11319","41","23","7","1","0","0","5","9","67537"
"1056","San Francisco Unified","Lincoln","San Francisco","High School","2046","16.4","0.9","56.2","5.5","4.3","21.5","0.8","1","3.1","6.7","51.8","20.2","14","1.2","521","451","11319","41","23","7","1","0","0","5","9","67537"
